,vote_count,id,revenue,actor_2_facebook_likes,movie_facebook_likes,aspect_ratio,imdb_score,budget,title_year,num_user_for_reviews,runtime,popularity,facenumber_in_poster,actor_1_facebook_likes,num_voted_users,num_critic_for_reviews,duration,gross,director_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,vote_average,production_companies,release_date,title,spoken_languages,production_countries,overview,color,original_language,keywords,content_rating,country,language,movie_imdb_link,plot_keywords,actor_3_name,movie_title,actor_1_name,actor_2_name,director_name,original_title,genres,original_language_le,original_language_en,has_homepage,has_tagline,tagline_word_count,release_weekday,release_month,release_year,keywords_count,production_companies_count,production_countries_count,spoken_languages_count
0,4466,206647,880674609,393.0,85000.0,2.35,6.8,245000000.0,2015.0,994.0,148.0,107.37678799999999,1.0,11000.0,275868.0,602.0,148.0,200074175.0,0.0,161.0,11700.0,6.3,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]",2015-10-26,Spectre,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",Color,en,"[{""id"": 470, ""name"": ""spy""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 14555, ""name"": ""mi6""}, {""id"": 156095, ""name"": ""british secret service""}, {""id"": 158431, ""name"": ""united kingdom""}]",PG-13,UK,English,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,bomb|espionage|sequel|spy|terrorist,Stephanie Sigman,Spectre,Christoph Waltz,Rory Kinnear,Sam Mendes,Spectre,Action|Adventure|Thriller,3,1,1,1,5.0,0,10,2015,7,3,2,5
1,6767,99861,1405403694,21000.0,118000.0,2.35,7.5,250000000.0,2015.0,1117.0,141.0,134.27922900000002,4.0,26000.0,462669.0,635.0,141.0,458991599.0,0.0,19000.0,92000.0,7.3,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2015-04-22,Avengers: Age of Ultron,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",Color,en,"[{""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10629, ""name"": ""vision""}, {""id"": 155030, ""name"": ""superhero team""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe""}, {""id"": 209714, ""name"": ""3d""}]",PG-13,USA,English,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,Scarlett Johansson,Avengers: Age of Ultron,Chris Hemsworth,Robert Downey Jr.,Joss Whedon,Avengers: Age of Ultron,Action|Adventure|Sci-Fi,3,1,1,1,5.0,2,4,2015,9,3,1,1
2,7004,209112,873260194,4000.0,197000.0,2.35,6.9,250000000.0,2016.0,3018.0,151.0,155.790452,0.0,15000.0,371639.0,673.0,183.0,330249062.0,0.0,2000.0,24450.0,5.7,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",2016-03-23,Batman v Superman: Dawn of Justice,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Color,en,"[{""id"": 849, ""name"": ""dc comics""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 195242, ""name"": ""clark kent""}, {""id"": 195243, ""name"": ""bruce wayne""}, {""id"": 229266, ""name"": ""dc extended universe""}]",PG-13,USA,English,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,based on comic book|batman|sequel to a reboot|superhero|superman,Alan D. Purwin,Batman v Superman: Dawn of Justice,Henry Cavill,Lauren Cohan,Zack Snyder,Batman v Superman: Dawn of Justice,Action|Adventure|Sci-Fi,3,1,1,1,3.0,2,3,2016,9,6,1,1
3,4760,122917,956019788,972.0,65000.0,2.35,7.5,250000000.0,2014.0,802.0,144.0,120.96574299999999,0.0,5000.0,354228.0,422.0,164.0,255108370.0,0.0,773.0,9152.0,7.1,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""3Foot7"", ""id"": 7413}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",2014-12-10,The Hobbit: The Battle of the Five Armies,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Color,en,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 603, ""name"": ""elves""}, {""id"": 604, ""name"": ""dwarves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 611, ""name"": ""hobbit""}, {""id"": 12554, ""name"": ""dragon""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 167982, ""name"": ""unlikely friendship""}, {""id"": 188270, ""name"": ""epic battle""}, {""id"": 234213, ""name"": ""sword and sorcery""}]",PG-13,New Zealand,English,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,army|elf|hobbit|middle earth|orc,James Nesbitt,The Hobbit: The Battle of the Five Armies,Aidan Turner,Adam Brown,Peter Jackson,The Hobbit: The Battle of the Five Armies,Adventure|Fantasy,3,1,1,1,8.0,2,12,2014,11,5,2,1
4,7241,271110,1153304495,19000.0,72000.0,2.35,8.2,250000000.0,2016.0,1022.0,147.0,198.37239499999998,0.0,21000.0,272670.0,516.0,147.0,407197282.0,94.0,11000.0,64798.0,7.1,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Walt Disney Studios Motion Pictures"", ""id"": 3036}, {""name"": ""Vita-Ray Dutch Productions (III)"", ""id"": 84424}, {""name"": ""Deluxe Digital Studios"", ""id"": 84425}]",2016-04-27,Captain America: Civil War,"[{""iso_639_1"": ""ro"", ""name"": ""Rom\u00e2n\u0103""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Color,en,"[{""id"": 393, ""name"": ""civil war""}, {""id"": 6091, ""name"": ""war""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe""}, {""id"": 209714, ""name"": ""3d""}]",PG-13,USA,English,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,Chris Evans,Captain America: Civil War,Robert Downey Jr.,Scarlett Johansson,Anthony Russo,Captain America: Civil War,Action|Adventure|Sci-Fi,3,1,1,1,3.0,2,4,2016,11,5,1,4
5,8662,135397,1513528810,2000.0,150000.0,2.0,7.0,150000000.0,2015.0,1290.0,124.0,418.708552,0.0,3000.0,418214.0,644.0,124.0,652177271.0,365.0,1000.0,8458.0,6.5,"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}]",2015-06-09,Jurassic World,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",Color,en,"[{""id"": 1299, ""name"": ""monster""}, {""id"": 1718, ""name"": ""dna""}, {""id"": 1720, ""name"": ""tyrannosaurus rex""}, {""id"": 1766, ""name"": ""velociraptor""}, {""id"": 2041, ""name"": ""island""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 12616, ""name"": ""dinosaur""}, {""id"": 155582, ""name"": ""amusement park""}, {""id"": 158130, ""name"": ""animal attack""}, {""id"": 158340, ""name"": ""theme park""}, {""id"": 178010, ""name"": ""jurassic park""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 223059, ""name"": ""animal horror""}]",PG-13,USA,English,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,Omar Sy,Jurassic World,Bryce Dallas Howard,Judy Greer,Colin Trevorrow,Jurassic World,Action|Adventure|Sci-Fi|Thriller,3,1,1,1,4.0,1,6,2015,16,5,1,1
6,3095,91314,1091405097,956.0,56000.0,2.35,5.7,210000000.0,2014.0,918.0,165.0,116.840296,2.0,974.0,242420.0,378.0,165.0,245428137.0,0.0,808.0,3988.0,5.8,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""China Movie Channel"", ""id"": 11413}, {""name"": ""Hasbro Studios"", ""id"": 22826}, {""name"": ""Ian Bryce Productions"", ""id"": 38833}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2014-06-25,Transformers: Age of Extinction,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",Color,en,"[{""id"": 9663, ""name"": ""sequel""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10607, ""name"": ""transformers""}, {""id"": 10891, ""name"": ""giant robot""}, {""id"": 14544, ""name"": ""robot""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 166594, ""name"": ""transforming robot""}]",PG-13,USA,English,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,Kelsey Grammer,Transformers: Age of Extinction,Bingbing Li,Sophia Myles,Michael Bay,Transformers: Age of Extinction,Action|Adventure|Sci-Fi,3,1,1,1,6.0,2,6,2014,7,8,1,1
7,4179,102382,705717432,10000.0,41000.0,2.35,6.7,200000000.0,2014.0,1067.0,142.0,89.270217,0.0,15000.0,321227.0,495.0,142.0,202853933.0,464.0,825.0,28631.0,6.5,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""Avi Arad Productions"", ""id"": 31828}, {""name"": ""Matt Tolmach Productions"", ""id"": 53462}]",2014-04-16,The Amazing Spider-Man 2,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",Color,en,"[{""id"": 1523, ""name"": ""obsession""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 13040, ""name"": ""electrocution""}, {""id"": 33977, ""name"": ""medical experiment""}, {""id"": 41594, ""name"": ""electricity""}, {""id"": 163455, ""name"": ""super powers""}]",PG-13,USA,English,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,B.J. Novak,The Amazing Spider-Man 2,Emma Stone,Andrew Garfield,Marc Webb,The Amazing Spider-Man 2,Action|Adventure|Fantasy|Sci-Fi,3,1,1,1,3.0,2,4,2014,8,4,1,1
8,4176,168259,1506249360,23000.0,94000.0,2.35,7.2,190000000.0,2015.0,657.0,137.0,102.32221700000001,0.0,26000.0,278232.0,424.0,140.0,350034110.0,0.0,14000.0,79150.0,7.3,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""One Race Films"", ""id"": 7154}, {""name"": ""China Film Co."", ""id"": 40890}, {""name"": ""Qu\u00e9bec Production Services Tax Credit"", ""id"": 86352}, {""name"": ""Media Rights Capital (MRC)"", ""id"": 86655}, {""name"": ""Abu Dhabi Film Commission"", ""id"": 87857}, {""name"": ""Colorado Office of Film, Television & Media"", ""id"": 87858}]",2015-04-01,Furious 7,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Color,en,"[{""id"": 830, ""name"": ""car race""}, {""id"": 3428, ""name"": ""speed""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 33885, ""name"": ""car""}, {""id"": 40870, ""name"": ""race""}, {""id"": 205399, ""name"": ""muscle car""}]",PG-13,USA,English,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,car falling off a cliff|hospital|revenge|star died before release|terrorist,Vin Diesel,Furious 7,Jason Statham,Paul Walker,James Wan,Furious 7,Action|Crime|Thriller,3,1,1,1,3.0,2,4,2015,7,10,2,1
9,6032,127585,747862775,22000.0,82000.0,2.35,8.0,200000000.0,2014.0,752.0,131.0,118.07869099999999,7.0,34000.0,514125.0,539.0,149.0,233914986.0,0.0,20000.0,91434.0,7.5,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Down Productions"", ""id"": 37336}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2014-05-15,X-Men: Days of Future Past,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,Color,en,"[{""id"": 1228, ""name"": ""1970s""}, {""id"": 1852, ""name"": ""mutant""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10761, ""name"": ""superhuman""}, {""id"": 14527, ""name"": ""storm""}, {""id"": 161271, ""name"": ""beast""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 206736, ""name"": ""changing the past or future""}]",PG-13,USA,English,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,dystopia|super strength|supernatural power|time paradox|time travel,Hugh Jackman,X-Men: Days of Future Past,Jennifer Lawrence,Peter Dinklage,Bryan Singer,X-Men: Days of Future Past,Action|Adventure|Fantasy|Sci-Fi|Thriller,3,1,1,1,9.0,3,5,2014,10,7,2,1
